Raw_Type,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,dlllist_ndlls,dlllist_avg_dlls_per_proc,handles_nhandles,handles_avg_handles_per_proc,handles_nport,handles_nfile,handles_nevent,handles_ndesktop,handles_nkey,handles_nthread,handles_ndirectory,handles_nsemaphore,handles_ntimer,handles_nsection,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,psxview_not_in_pslist,psxview_not_in_eprocess_pool,psxview_not_in_ethread_pool,psxview_not_in_pspcid_list,psxview_not_in_csrss_handles,psxview_not_in_session,psxview_not_in_deskthrd,psxview_not_in_pslist_false_avg,psxview_not_in_eprocess_pool_false_avg,psxview_not_in_ethread_pool_false_avg,psxview_not_in_pspcid_list_false_avg,psxview_not_in_csrss_handles_false_avg,psxview_not_in_session_false_avg,psxview_not_in_deskthrd_false_avg,callbacks_ncallbacks,callbacks_nanonymous,callbacks_ngeneric,modules_nmodules,svcscan_nservices,svcscan_kernel_drivers,svcscan_fs_drivers,svcscan_process_services,svcscan_shared_process_services,svcscan_interactive_process_services,svcscan_nactive,Label,SubType
F:\Run_1\1f2679c6694f4a721a5daece784bd0d73194a99edf89eaa72e1c73ac00778c52_trojan/raw/raw_1.bin,152,20,10.644736842105264,152,0.0,7593,53.0979020979021,51294,358.6993006993007,0,1987,11607,146,3913,2049,338,2608,407,1076,850,460,605,460,0.0571997015667744,0.0752300422780402,0.0571997015667744,22,1350,22,6,4,2,6,156,15,0,156,0.0256410256410256,0.0128205128205128,0.0384615384615384,1.0,0.0961538461538461,0.0,1.0,258,217,17,175,1398,704,85,155,2,2,386,Malware,Trojan
F:\Run_1\1f2679c6694f4a721a5daece784bd0d73194a99edf89eaa72e1c73ac00778c52_trojan/raw/raw_2.bin,143,20,8.895104895104895,143,0.0,7281,53.14598540145985,48761,353.34057971014494,0,1918,10892,142,3730,1589,323,2537,377,1050,734,414,551,414,0.0541388779913691,0.0720544004184647,0.0541388779913691,22,1350,22,6,11,0,12,154,19,0,154,0.0714285714285714,0.0,0.0779220779220779,1.0,0.1233766233766233,0.0,1.0,264,223,25,175,1446,731,85,156,2,2,380,Malware,Trojan
F:\Run_1\2b832ec67aa044d7ddea7f2a58687ea3b19f49979414987d918a2ac7ab57e4b3_trojan/raw/raw_0.bin,124,16,12.725806451612904,123,0.0,5889,49.075,41435,342.43801652892563,0,1736,9667,128,3037,1824,287,1807,325,879,745,354,476,354,0.0569314892248311,0.0765519459633322,0.0569314892248311,22,1347,22,6,12,1,10,136,19,0,136,0.088235294117647,0.0073529411764705,0.0735294117647058,1.0,0.1397058823529411,0.0,1.0,257,217,17,175,1455,735,86,148,2,2,373,Malware,Trojan
F:\Run_1\2b832ec67aa044d7ddea7f2a58687ea3b19f49979414987d918a2ac7ab57e4b3_trojan/raw/raw_1.bin,130,16,10.13076923076923,129,0.0,6270,49.76190476190476,43149,339.755905511811,0,1783,9786,132,3242,1575,298,1930,347,937,796,396,524,396,0.0594951923076923,0.0787259615384615,0.0594951923076923,22,1347,22,6,10,0,10,140,16,0,140,0.0714285714285714,0.0,0.0714285714285714,1.0,0.1142857142857142,0.0,1.0,257,217,25,175,1510,765,86,162,2,2,395,Malware,Trojan
F:\Run_1\2b832ec67aa044d7ddea7f2a58687ea3b19f49979414987d918a2ac7ab57e4b3_trojan/raw/raw_2.bin,127,15,8.952755905511811,126,0.0,6131,49.84552845528455,41590,335.4032258064516,0,1747,9356,129,3145,1308,292,1877,325,919,663,385,509,385,0.0591579594345421,0.0782114320835894,0.0591579594345421,22,1347,22,6,14,1,13,141,20,0,141,0.0992907801418439,0.0070921985815602,0.0921985815602836,1.0,0.1418439716312056,0.0,1.0,263,223,25,175,0,0,0,0,0,0,0,Malware,Trojan
F:\Run_1\2bb90142a22a52f8f31ed59a4a4202f1383a7aa0fe183de64f7e702e08dc97d1_trojan/raw/raw_0.bin,151,23,13.066225165562914,151,0.0,7598,52.04109589041096,53577,366.9657534246575,0,2305,12686,150,3935,2500,334,2792,344,1228,854,408,578,408,0.0511662904439428,0.0724855781289189,0.0511662904439428,23,1619,23,6,15,1,7,166,21,0,166,0.0903614457831325,0.0060240963855421,0.0421686746987951,1.0,0.1265060240963855,0.0,1.0,258,217,25,176,1451,740,89,155,2,2,402,Malware,Trojan
F:\Run_1\2bb90142a22a52f8f31ed59a4a4202f1383a7aa0fe183de64f7e702e08dc97d1_trojan/raw/raw_1.bin,153,22,10.666666666666666,153,0.0,7743,52.67346938775511,53477,361.3310810810811,0,2300,12449,151,4094,2137,339,2808,335,1238,855,415,564,415,0.0509640181751197,0.0692619427729338,0.0509640181751197,23,1619,23,6,12,2,9,165,23,0,165,0.0727272727272727,0.0121212121212121,0.0545454545454545,1.0,0.1393939393939394,0.0,1.0,258,217,25,176,1472,745,91,159,2,2,393,Malware,Trojan
F:\Run_1\2bb90142a22a52f8f31ed59a4a4202f1383a7aa0fe183de64f7e702e08dc97d1_trojan/raw/raw_2.bin,150,22,10.166666666666666,150,0.0,7515,52.55244755244755,52237,362.75694444444446,0,2296,12169,146,3925,2004,331,2783,326,1219,732,405,548,405,0.0513177901672579,0.0694374049670552,0.0513177901672579,23,1619,23,6,14,0,10,163,21,0,163,0.0858895705521472,0.0,0.0613496932515337,1.0,0.1288343558282208,0.0,1.0,264,223,17,176,1458,742,90,153,2,2,392,Malware,Trojan
F:\Run_1\2c1487a61bbcd807564589279cd4314b866c6444198affa0a3d5432b88dcceb8_trojan/raw/raw_0.bin,149,21,18882379.32885906,148,0.0,7385,52.00704225352113,51071,357.13986013986016,0,2010,11837,149,3810,2346,331,2688,365,1032,836,501,642,501,0.0650480394702674,0.0833549727343547,0.0650480394702674,9,22,9,5,6,0,6,153,19,0,153,0.0392156862745098,0.0,0.0392156862745098,1.0,0.1241830065359477,0.0,1.0,262,217,25,175,1470,742,86,156,2,2,396,Malware,Trojan
F:\Run_1\2c1487a61bbcd807564589279cd4314b866c6444198affa0a3d5432b88dcceb8_trojan/raw/raw_1.bin,149,17,9.885906040268456,149,0.0,7402,52.12676056338028,51198,353.0896551724138,0,2094,11471,149,3887,1859,335,2690,377,1078,759,700,843,700,0.0874890638670166,0.1053618297712785,0.0874890638670166,18,801,18,5,5,0,5,154,20,0,154,0.0324675324675324,0.0,0.0324675324675324,1.0,0.1298701298701298,0.0,1.0,262,217,25,175,1454,738,85,156,2,2,396,Malware,Trojan
