hash,filename,yara,vmray_classification,Risk
"E:\Run_1\randsomware\0cb17078bb20234b689836ff48c147ebcdf4abc3fe82e42ba51454fe1cb4a1e5_ransomware.zip",evuw.exe,false,-,Malicious
"E:\Run_1\randsomware\0ed72a28ba5bac7f44f9e4519db5f8c8d94076d85a929c2004da1cba99559610_ransomware.zip",ayimqq.exe,false,-,Malicious
"E:\Run_1\randsomware\1b99720ff518a77349947048153711262cb9bda67b98b654cd025426c440cbef_ransomware.zip",eyr.exe,false,-,Malicious
"E:\Run_1\randsomware\1d773d866966940f042d442b9e0cec638e733a83f7137cbdd4e70d4cb9803ada_ransomware.zip",iogef.exe,false,Ransomware,Malicious
"E:\Run_1\randsomware\2c127f91b268a5e6316f343781451b76bee664638987ff6d17622be8def3f864_ransomware.zip",bfrt.exe,false,-,Malicious
"E:\Run_1\randsomware\2c719454d0de13ac4564d00aa10c9e0b005b0bc91f5fc58d3bea10f067a07413_ransomware.zip",ovbhyboeaez.exe,false,InjectorRansomware,Malicious
"E:\Run_1\randsomware\2d2fa95aa9bf662fdcd71d75dc4ddb6e322b3db907d7555450c5db9def301012_ransomware.zip",qlmtaqe.exe,false,-,Malicious
"E:\Run_1\randsomware\3a1b797876f0839e861ea4a5a44940a4fdcf84c91c12a9ff2c1f09ed01b690e1_ransomware.zip",bgympdsfzce.exe,false,-,Malicious
"E:\Run_1\randsomware\3a101185d6dfae71e84fb1c37bcd07da18d34b084ab6837d1c49f1bd99642bcc_ransomware.zip",ooptqzxfxh.exe,false,-,Malicious
"E:\Run_1\randsomware\3d32e5470e02df80ebcbcd4f6d87f2c4a9163e908e8d867aa47c217268ebc310_ransomware.zip",umqrb.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\randsomware\005d62ccb914fe69ed4795a68a2ec0c679e4713c50a73d90524b7bac1240fefd_ransomware.zip",hwypu.exe,false,InjectorRansomware,Malicious
"E:\Run_1\randsomware\5f44120d86db22107653b15a11811e4a00a9d6052955120693270e17cd48c84d_ransomware.zip",ierjdmnczi.exe,false,Injector,Malicious
"E:\Run_1\randsomware\6a94a4a1e154a240d6803bed560b35f750b9398105e4f69537ba7a7359b27110_ransomware.zip",wzxiw.exe,false,-,Malicious
"E:\Run_1\randsomware\6d832e700137573409ed9c61670d0c8984af04377504170172048996d352d431_ransomware.zip",ncwzl.exe,false,-,Malicious
"E:\Run_1\randsomware\6d0338228fb76a156167342197ae7f24c1141f2d20e466000a3cd476bc8b924f_ransomware.zip",kkoshwo.exe,false,-,Malicious
"E:\Run_1\randsomware\6edf7c043348efe02d94c97a4d06ec735fb90a77ea290509e03991edadb24716_ransomware.zip",izqceltaicu.exe,false,-,Malicious
"E:\Run_1\randsomware\8afc51fb904b25124bd5cb41985e917333071d1af1c6ab83cc7ae408e7cb0e7e_ransomware.zip",cvlskqisrm.exe,false,InjectorRansomware,Malicious
"E:\Run_1\randsomware\8ba7d0adb180615be8923a26b3c3259201a73f0cb70b62f38c2d43445c2e8307_ransomware.zip",rhkcbmwmnkl.exe,false,-,Malicious
"E:\Run_1\randsomware\8ce1c8b15d00efd8cfb7f6a37e6cb1228bba48bf7dba1b1718503f94c18a41cb_ransomware.zip",assnlqn.exe,true,Ransomware,Malicious
"E:\Run_1\benign\1b399f61e57266427a5fceb4f3df6a337304832e24579c43385b59cfd660e068_benign.zip",coknvwj.exe,false,-,Clean
"E:\Run_1\benign\1b67441f080adf23da22736c557813d3bb459c915a1b84d8253b8e9599df2708_benign.zip",gbzs.exe,false,-,Clean
"E:\Run_1\benign\1c639fbba837b57f28691e7f210a034dd1b55380a13649a64e47be55bb8308a0_benign.zip",ssnj.exe,false,-,Clean
"E:\Run_1\benign\1d2b8e3bbfcd7546b402c2f379e40d850fd4eceaf20c45fdbfcba0b859e0a7fb_benign.zip",yzjmtgpjl.exe,false,-,Clean
"E:\Run_1\benign\1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51_benign.zip",egmzbcl.exe,false,-,Clean
"E:\Run_1\benign\1fcbe5d51360bee55f55c791a95df8c61f73e117bda89b9439d74df5cee7aa71_benign.zip",fuit.exe,false,-,Clean
"E:\Run_1\benign\2a1c7574a5c42eb8c9348d9dba505ce49f2c88231d7ea6edd3715a39a5decd94_benign.zip",ppkqedk.exe,false,-,Clean
"E:\Run_1\benign\2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815_benign.zip",zfjsxrvw.exe,false,-,Clean
"E:\Run_1\benign\2b8f77719ff7528fc7147d381d98f0171390b94b85f84f9b4483e9322f140726_benign.zip",xezrnd.exe,false,-,Clean
"E:\Run_1\benign\2b672dd0e086dd4196087712ba0e34af205f518231545646c81d01411fe9bda8_benign.zip",pxpgrrheic.exe,false,-,Clean
"E:\Run_1\benign\2d9861d0185e05d493c8d5bbae368263f15c0fa66fc7e70c9eae8bba1b43be26_benign.zip",iewhif.exe,false,-,Clean
"E:\Run_1\benign\2d09798210455d443e62351b7b9f02fe7412930623a6bcf6b009c94da3f0fb94_benign.zip",aisrsr.exe,false,-,Clean
"E:\Run_1\benign\2debeb3bd8ee05e342aec360134d65f6f3e637145ebc001f243e21e58d8503f2_benign.zip",ocrmzounolr.exe,false,-,Clean
"E:\Run_1\benign\2e2a40d004346e95cdb0a91dcd881be1f2ee6d9eef16f239c40f6b4e2383c656_benign.zip",wecpvwxm.exe,false,-,Clean
"E:\Run_1\benign\2edf7c8fd59cd5fcd19fa528f60cbd6ddb9a8076ae0280b11d8ea8eaf7d39958_benign.zip",tqle.exe,false,-,Clean
"E:\Run_1\benign\3a26e84b22e7665a55f0857da23a05e3ef3ed430242b6f7635909981cdbeba94_benign.zip",onsey.exe,false,-,Clean
"E:\Run_1\benign\3b812075fee45f45ae2d9801c25eb4cadef412b703a1df9c29060bad61fbb039_benign.zip",eykfzqnpt.exe,false,-,Clean
"E:\Run_1\benign\3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0_benign.zip",foowjnrzpfw.exe,false,-,Clean
"E:\Run_1\benign\3ccc132059602cbf7dc3acf61a7f83d443a8379a784cc660575858bdb455e6cc_benign.zip",igyhxcp.exe,false,-,Clean
"E:\Run_1\benign\3d1ac5f16b486805bfea6e9152cc60251b7e8f4a8580187afef978347e523f46_benign.zip",ixsub.exe,false,-,Clean
"E:\Run_1\benign\3d8b868359f623a9441e336d32c360352bf819114052599d3c85ab69e60d1de9_benign.zip",zrdvnvnm.exe,false,-,Clean
"E:\Run_1\benign\3e71f762320a9af8159d51e374a64ebd4916a92e3de3be8dc1e22d86410982c5_benign.zip",tnmtxoook.exe,false,-,Clean
"E:\Run_1\benign\04ffb8d60a17d6405a9408e73e9cabcdaf5e396f7c4784874dc49c353e97315b_benign.zip",pnzxdthby.exe,false,-,Clean
"E:\Run_1\benign\4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9_benign.zip",cgchfyyecyi.exe,false,-,Clean
"E:\Run_1\benign\4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb_benign.zip",dybivpamdkf.exe,false,-,Clean
"E:\Run_1\benign\4d42711b63f90ff9af3d6c8e4edb3ff08cab6fe5131d9a43f4d10d1ca51f7378_benign.zip",inekfx.exe,false,Backdoor,Suspicious
"E:\Run_1\benign\4df54b01e012216c2c376c7f4a2bee56c0dfead5bd9324e69d774274151c9a1c_benign.zip",etdnpxbay.exe,false,-,Clean
"E:\Run_1\benign\4e3b3bf5ee097fdbf0b595a37261eb70683a3c59e15e6aa616e313a7134a48ea_benign.zip",mydrhlp.exe,false,-,Clean
"E:\Run_1\benign\4ea6fb35bfa0deace0e149557d73a99ee858029e33bbbcaf5cdf5aefb21ffb80_benign.zip",xhhyowxvmhx.exe,false,-,Clean
"E:\Run_1\benign\4ec1e44407cc7874b875e2850962e0583a97486b29578cdd4bcc21d7e1d76004_benign.zip",qfpmhqjtcl.exe,false,-,Clean
"E:\Run_1\benign\4ef9eb58224457492f674fb550761cd13b7e6031186b801577194a05719d4f43_benign.zip",uhxutxt.exe,false,-,Clean
"E:\Run_1\benign\05c73c13c3635fab5c7daa5bcae4ea3a21ec0bd620291762cd13c03cd786b438_benign.zip",houjj.exe,false,Spyware,Suspicious
"E:\Run_1\benign\5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37_benign.zip",njzcjaykmn.exe,false,-,Clean
"E:\Run_1\benign\5a63c01f80e137c588117dec2a9ae121d27b8a57ec40ab77e7e5a94a75be2db2_benign.zip",avylrgbrg.exe,false,-,Clean
"E:\Run_1\benign\5a071e20a23c845332e288fe02f2601518c8f1c1de1871d24a0530b09841157f_benign.zip",ckinroevsfv.exe,false,-,Clean
