Raw_Type,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,pstree_nTree,pstree_nHandles,pstree_nPID,pstree_nPPID,pstree_AvgThreads,pstree_nWow64,pstree_AvgChildren,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,nConn,nDistinctForeignAdd,nDistinctForeignPort,nDistinctLocalAddr,nDistinctLocalPort,nOwners,nDistinctProc,nListening,Proto_TCPv4,Proto_TCPv6,Proto_UDPv4,Proto_UDPv6,file_total_changes,file_added_files,file_modified_files,file_deleted_files,registry_total_changes,registry_added_files,registry_modified_files,registry_deleted_files,Label,SubType
4d42711b63f90ff9af3d6c8e4edb3ff08cab6fe5131d9a43f4d10d1ca51f7378_benign,34,2181,34,6,144,0,144,21,12.756944444444445,1,0.9583333333333334,163,21,12.52760736196319,162,0.0,171,47,3,7,124,13,34,24,121,11,22,17,0,0,0,0,4,1,2,1,Benign,Benign
4df54b01e012216c2c376c7f4a2bee56c0dfead5bd9324e69d774274151c9a1c_benign,33,2141,33,6,141,0,141,20,22023141.64539007,0,0.9361702127659576,151,20,20564656.278145697,151,0.0,176,42,3,6,136,14,30,24,128,11,21,16,0,0,0,0,4,1,2,1,Benign,Benign
4e3b3bf5ee097fdbf0b595a37261eb70683a3c59e15e6aa616e313a7134a48ea_benign,33,2141,33,6,140,0,140,20,1885.2714285714285,0,0.9285714285714286,160,21,1651.0625,160,0.0,152,41,3,7,109,12,32,24,100,11,23,18,0,0,0,0,4,1,2,1,Benign,Benign
4ea6fb35bfa0deace0e149557d73a99ee858029e33bbbcaf5cdf5aefb21ffb80_benign,33,2143,33,6,140,0,140,22,53179346.18571428,2,0.9285714285714286,140,22,53179346.18571428,138,0.0,158,38,3,6,115,13,31,24,107,11,23,17,0,0,0,0,4,1,2,1,Benign,Benign
4ec1e44407cc7874b875e2850962e0583a97486b29578cdd4bcc21d7e1d76004_benign,22,1347,22,6,146,0,146,18,13.047945205479452,1,0.958904109589041,156,18,13.044871794871796,155,0.0,112,6,4,6,55,9,25,26,23,14,40,35,0,0,0,0,4,1,2,1,Benign,Benign
4ef9eb58224457492f674fb550761cd13b7e6031186b801577194a05719d4f43_benign,35,2680,35,6,139,0,139,21,12.856115107913668,0,0.9496402877697842,162,23,12.530864197530864,161,0.0,176,44,4,6,126,12,29,24,126,11,22,17,0,0,0,0,10,3,4,3,Benign,Benign
5a071e20a23c845332e288fe02f2601518c8f1c1de1871d24a0530b09841157f_benign,33,2142,33,6,139,0,139,21,13.050359712230216,0,0.935251798561151,152,21,12.914473684210526,152,0.0,156,41,4,7,119,12,29,24,103,12,23,18,0,0,0,0,10,3,4,3,Benign,Benign
5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37_benign,22,1347,22,6,128,0,128,17,12.671875,1,0.9296875,146,19,12.095890410958903,145,0.0,54,4,3,6,29,8,20,22,14,10,16,14,0,0,0,0,10,3,4,3,Benign,Benign
5a63c01f80e137c588117dec2a9ae121d27b8a57ec40ab77e7e5a94a75be2db2_benign,22,1346,22,6,8,0,8,4,26.0,0,0.375,143,19,12.307692307692308,141,0.0,57,4,4,6,29,8,20,24,16,11,16,14,0,0,0,0,4,1,2,1,Benign,Benign
5b231372f1e52b49526215deebcfc997b9dd74d77cc35d9cf78590480e51b1a0_benign,34,2410,34,6,158,0,158,20,12.91139240506329,1,0.9493670886075948,167,20,12.760479041916168,166,0.0,174,44,3,7,125,13,29,24,113,11,27,23,0,0,0,0,4,1,2,1,Benign,Benign
5b3bb26ce3cc45e3f9317075e2018d429ca2d0203bd6c41eda16da34bc0b8ccd_benign,36,2948,36,6,141,0,141,21,13.085106382978724,1,0.9361702127659576,150,21,12.9,149,0.0,174,45,5,7,131,13,30,24,124,13,21,16,0,0,0,0,4,1,2,1,Benign,Benign
5c1af46c7300e87a73dacf6cf41ce397e3f05df6bd9c7e227b4ac59f85769160_benign,21,1082,21,6,139,0,139,23,18636369.0,2,0.9136690647482014,171,25,15148863.269005848,168,0.0,182,50,8,7,139,17,36,24,131,13,21,17,0,0,0,0,4,1,2,1,Benign,Benign
5d62d79f6555d7a7edaf3b175312b326df779f9ae8c893e2182e4159f44c9d34_benign,34,2167,34,6,140,0,140,20,13.307142857142855,0,0.9428571428571428,160,21,12.85,160,0.0,163,38,4,7,124,12,31,24,114,12,21,16,0,0,0,0,4,1,2,1,Benign,Benign
5e405415dc1a7d3c56e7e8d8b9b744ac3c2a275ee5f4b09bc09d63d6f7546e28_benign,35,2680,35,6,140,0,140,20,13.471428571428572,0,0.9428571428571428,147,21,13.170068027210885,147,0.0,162,37,4,7,118,14,32,24,112,13,21,16,0,0,0,0,4,1,2,1,Benign,Benign
5e815f1124d3279bf4d593ecdf73f4d8e7cabc26e7dbf1148a5f3ed529531827_benign,22,1347,22,6,126,0,126,17,12.714285714285714,1,0.9444444444444444,145,19,12.289655172413791,142,0.0,56,5,5,6,31,8,21,22,15,11,17,13,0,0,0,0,4,1,2,1,Benign,Benign
5f435219d06e44d63e9d5b7a234afe3ef384c94fc997b9cbd2f051742d69c790_benign,28,1469,28,7,153,0,153,17,13.588235294117649,2,0.9477124183006536,166,18,13.457831325301203,164,0.0,176,40,5,7,135,16,35,24,124,12,22,18,0,0,0,0,4,1,2,1,Benign,Benign
5fd41a27b02e9e2c90fd4d98aeae32d41cd24d5efe80ec918c7ad7cc2514386f_benign,37,3218,37,6,140,0,140,20,1885.3785714285716,0,0.9285714285714286,149,20,1772.013422818792,149,0.0,166,38,3,6,126,13,30,24,116,11,22,17,0,0,0,0,4,1,2,1,Benign,Benign
5fea3241e2e2c3232f3dafa3bf72c9ba0e88df2781f2a742d4369813f99ce952_benign,20,809,20,6,154,0,154,20,13.597402597402596,0,0.948051948051948,167,21,13.41317365269461,167,0.0,182,40,4,6,131,15,36,24,130,12,22,18,0,0,0,0,4,1,2,1,Benign,Benign
6b8d1a1f785c103e2d75702c22491d1b3942878bcba7965c9f6b2ec46440726d_benign,26,1416,26,7,126,0,126,16,12.73015873015873,2,0.9365079365079364,136,16,12.698529411764708,134,0.0,50,4,1,7,27,7,17,22,13,10,15,12,0,0,0,0,4,1,2,1,Benign,Benign
6c29fa22f01232ee015ac027338ce7b69745844fae51d7cde0916acd371f3bfc_benign,22,1347,22,6,126,0,126,16,12.88095238095238,1,0.9365079365079364,136,16,12.823529411764708,135,0.0,58,4,2,6,28,8,20,24,13,12,18,15,0,0,0,0,4,1,2,1,Benign,Benign
6df774a7ed523b867cb9bcc2f56d95db134f8f668c5c7dfc6843665ce2e966b9_benign,36,2948,36,6,148,0,148,28,28889013.10135135,3,0.9054054054054054,168,29,25449845.964285716,164,0.0,180,38,3,7,136,15,31,24,130,11,22,17,0,0,0,0,4,1,2,1,Benign,Benign
6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73_benign,22,1351,22,6,142,0,142,22,648373.0,1,0.9366197183098592,162,23,568328.3518518518,161,0.0,182,46,6,6,139,14,34,24,131,12,22,17,0,0,0,0,4,1,2,1,Benign,Benign
6ee4dca852ae3b8f2fa3dba67bf58ea089d1ad5af0946dad3350339877cb7f29_benign,33,2143,33,6,148,0,148,26,12.797297297297296,1,0.9256756756756755,168,28,12.517857142857142,166,0.0,182,50,4,7,135,17,33,24,132,11,22,17,0,0,0,0,4,1,2,1,Benign,Benign
7a8cc5e06b39affec26b3f1bcaae3fae4a3c35aac0d2b5d0ae0509e9d1f06090_benign,22,1347,22,6,123,0,123,16,13.365853658536585,1,0.934959349593496,151,17,12.894039735099335,150,0.0,125,24,5,7,81,14,33,24,55,14,31,25,0,0,0,0,4,1,2,1,Benign,Benign
7ab4a27812e54a0a4ab0a952707f4e185eefe67c5466e9c47d578056e5dfcdda_benign,22,1349,22,6,155,0,155,18,13.851612903225806,0,0.9548387096774194,173,19,13.398843930635838,173,0.0,189,48,5,6,153,16,35,24,140,13,20,16,0,0,0,0,4,1,2,1,Benign,Benign
0a83754a6e03d367af7e4a181df496b5d643d69915a4702e91c5e5b2c4918859_trojan,22,1347,22,6,143,0,143,17,13.363636363636363,1,0.944055944055944,152,18,13.302631578947368,151,0.0,128,22,5,6,86,12,32,24,69,13,26,20,0,0,0,0,4,1,2,1,Malware,Trojan
0bd000296a27166aea20df164d56ec41d5a7283503c2e4f0f4fa057d3a12bac7_trojan,22,1347,22,6,128,0,128,16,12.5234375,1,0.953125,144,18,12.13888888888889,143,0.0,61,6,5,7,31,12,24,22,16,12,18,15,0,0,0,0,10,3,4,3,Malware,Trojan
0d58d4c64dd86c34cbf59c528f5b4c9120dc94431dc1019449b6b25dfd02721f_trojan,39,2267,39,7,145,0,145,21,40.98620689655172,2,0.9310344827586208,166,22,37.01807228915663,164,0.0,176,42,4,6,131,13,31,24,128,11,21,16,0,0,0,0,10,3,4,3,Malware,Trojan
0db4eb9bd85f7037e5949622f3bd73d2d62b21212b790c4116264f9ea92176e0_trojan,22,1347,22,6,123,0,123,23,14194098.845528455,3,0.902439024390244,163,25,10710886.82822086,159,0.0,158,37,4,7,108,19,40,27,87,14,34,23,0,0,0,0,10,3,4,3,Malware,Trojan
0e9eb65eb25395a34ae9181b5e9c25f0fb0d0a0691edf2601a51b8e5611901a4_trojan,22,1347,22,6,153,0,153,17,13.758169934640524,1,0.9477124183006536,166,17,13.439759036144578,165,0.0,201,45,7,7,149,17,39,24,138,12,28,23,0,0,0,0,4,1,2,1,Malware,Trojan
1d7f315437c9b0adec98ad55a604dcea31ae25350591a95f6330e127b6c4edcd_trojan,22,1346,22,6,152,0,152,18,27931239.88157895,2,0.9539473684210528,165,19,39451499.121212125,162,0.0,193,36,5,6,127,14,34,24,129,12,28,24,0,0,0,0,10,3,4,3,Malware,Trojan
1dfc6a1b4b1551ce51faf98bcf51e656c7df051cd466c141b5764baacffbef01_trojan,22,1347,22,6,154,0,154,19,23586969.266233765,2,0.948051948051948,165,19,22014505.33333333,163,0.0,189,48,4,7,143,17,37,24,129,12,26,22,0,0,0,0,10,3,4,3,Malware,Trojan
1f2679c6694f4a721a5daece784bd0d73194a99edf89eaa72e1c73ac00778c52_trojan,22,1350,22,6,157,0,157,22,31199099.6433121,2,0.9363057324840764,166,23,29507582.69879518,164,0.0,147,29,3,6,104,14,33,24,95,11,23,18,0,0,0,0,10,3,4,3,Malware,Trojan
2b832ec67aa044d7ddea7f2a58687ea3b19f49979414987d918a2ac7ab57e4b3_trojan,22,1347,22,6,124,0,124,16,12.725806451612904,1,0.935483870967742,133,16,12.714285714285714,132,0.0,53,4,2,6,27,7,19,22,13,10,16,14,0,0,0,0,10,3,4,3,Malware,Trojan
2bb90142a22a52f8f31ed59a4a4202f1383a7aa0fe183de64f7e702e08dc97d1_trojan,23,1619,23,6,15,0,15,8,25.2,0,0.5333333333333333,162,23,12.783950617283953,162,0.0,252,67,5,7,196,15,36,24,177,12,36,27,0,0,0,0,10,3,4,3,Malware,Trojan
2c1487a61bbcd807564589279cd4314b866c6444198affa0a3d5432b88dcceb8_trojan,20,813,20,6,148,0,148,20,13.033783783783784,0,0.9391891891891893,168,22,16746873.42857143,167,0.0,178,40,5,7,129,13,33,24,123,11,24,20,0,0,0,0,4,1,2,1,Malware,Trojan
2dc55319850ccba833517729306bbf99d6313f5deef29c39eff9a6e8925a2dd9_trojan,22,1347,22,6,125,0,125,16,12.688,1,0.936,149,19,12.006711409395972,146,0.0,63,6,5,7,31,10,22,22,16,12,19,16,0,0,0,0,10,3,4,3,Malware,Trojan
2e7c584b53d31556f9f68c8786d54983a0eb649780084a5d1587188c348ee607_trojan,20,813,20,6,143,0,143,21,1845.804195804196,0,0.9230769230769232,164,23,1610.8231707317073,163,0.0,176,37,4,6,129,13,29,24,124,11,23,18,0,0,0,0,10,3,4,3,Malware,Trojan
3c37debc9a1802eacd6d1d1c67e96c7919766348958b20b0b804ecc028bfef15_trojan,35,2679,35,6,147,0,147,21,25418568.89115646,1,0.9387755102040816,165,22,22645635.30909091,164,0.0,173,43,3,6,126,13,32,24,123,11,22,17,0,0,0,0,10,3,4,3,Malware,Trojan
3c6cf2b0d06d011df358561907b3070b645ba0cbc218df1a1d0ecc6770374cc5_trojan,39,3756,39,6,143,0,143,29,12.902097902097902,4,0.916083916083916,176,33,12.232954545454543,171,0.0,182,49,7,7,136,17,36,24,121,13,26,22,0,0,0,0,10,3,4,3,Malware,Trojan
3ee35b59b86122376980ea118db6ee299be9c4a746b14cc5b45743cb41b9dfc7_trojan,22,1346,22,6,127,0,127,16,12.755905511811024,1,0.952755905511811,138,17,12.68840579710145,137,0.0,53,4,2,6,28,7,18,22,12,11,16,14,0,0,0,0,10,3,4,3,Malware,Trojan
3fdb31c6da60d4125b0a5b5995edf89c4a8146b1908f7a55b0f01f36e7679ccc_trojan,35,2681,35,6,140,0,140,20,13.157142857142857,0,0.9428571428571428,162,21,12.617283950617283,162,0.0,165,47,4,6,123,12,31,24,116,12,21,16,0,0,0,0,10,3,4,3,Malware,Trojan
4ba80ac7174ff768ccb119a36b6538484ef4b1b7aad842650248b619525e302d_trojan,36,2948,36,6,147,0,147,21,13.129251700680271,0,0.9455782312925172,166,22,12.680722891566266,166,0.0,164,48,4,7,122,12,31,24,115,12,21,16,0,0,0,0,4,1,2,1,Malware,Trojan
4bb49f7056cbb508109d3e1ee7c85294280536bafb08f496f25eb6363fda577e_trojan,23,1348,23,7,125,0,125,16,12.896,1,0.952,138,17,12.782608695652174,137,0.0,58,3,1,6,26,9,20,22,12,10,18,18,0,0,0,0,10,3,4,3,Malware,Trojan
4ed3e8ee2c9fa0a8e8cd07fbe0c5c145d743dbd6cc2cd182c04301cd0d2fbfbd_trojan,38,3482,38,6,142,0,142,20,13.084507042253522,0,0.9366197183098592,158,21,12.79746835443038,158,0.0,155,37,5,6,117,11,29,24,104,12,22,17,0,0,0,0,10,3,4,3,Malware,Trojan
